epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5106.27,1.2091,0.82262,1.48608,0.91558,0.92534,0.96572,0.58964,1.27975,0.74498,1.77313,0.0011882,0.0011882,0.0011882
43,5227.32,1.21123,0.83865,1.49237,0.92822,0.94926,0.98192,0.64481,1.17898,0.64424,1.6597,0.0011684,0.0011684,0.0011684
44,5348.21,1.18829,0.84614,1.48862,0.93906,0.9623,0.98297,0.66808,1.12229,0.63298,1.60301,0.0011486,0.0011486,0.0011486
45,5468.15,1.19025,0.84594,1.48587,0.9405,0.9409,0.97272,0.64899,1.12983,0.66637,1.60944,0.0011288,0.0011288,0.0011288
46,5588.74,1.1737,0.78502,1.46066,0.97718,0.95833,0.98993,0.67726,1.08956,0.59454,1.57036,0.001109,0.001109,0.001109
47,5708.64,1.21264,0.80278,1.49176,0.9736,0.95122,0.98935,0.67203,1.13872,0.59978,1.59642,0.0010892,0.0010892,0.0010892
48,5829,1.14474,0.75479,1.42662,0.94157,0.94048,0.98294,0.65138,1.13515,0.64999,1.59142,0.0010694,0.0010694,0.0010694
49,5948.9,1.13541,0.77927,1.46004,0.94577,0.95635,0.98614,0.68653,1.08851,0.59623,1.57789,0.0010496,0.0010496,0.0010496
50,6070.87,1.16069,0.76205,1.43675,0.9619,0.95164,0.97914,0.65225,1.15525,0.59075,1.60862,0.0010298,0.0010298,0.0010298
51,6192.34,1.11323,0.71497,1.40011,0.97184,0.95848,0.98847,0.69985,1.05547,0.54985,1.51762,0.00101,0.00101,0.00101
52,6313.4,1.14861,0.7458,1.45121,0.94783,0.94841,0.97726,0.64691,1.15395,0.61399,1.61739,0.0009902,0.0009902,0.0009902
53,6433.91,1.13327,0.74536,1.43901,0.9549,0.96631,0.99002,0.69256,1.04301,0.56611,1.5107,0.0009704,0.0009704,0.0009704
54,6555.9,1.093,0.71985,1.39176,0.95993,0.95069,0.98446,0.68366,1.04464,0.57028,1.52675,0.0009506,0.0009506,0.0009506
55,6676.47,1.11419,0.73527,1.42741,0.94077,0.97702,0.98621,0.70741,1.00627,0.54089,1.49343,0.0009308,0.0009308,0.0009308
56,6797.6,1.14393,0.73721,1.43089,0.96609,0.98016,0.99239,0.71873,1.00462,0.52099,1.48478,0.000911,0.000911,0.000911
57,6918.9,1.1009,0.71438,1.38752,0.98393,0.97176,0.99352,0.7302,0.96507,0.51255,1.4461,0.0008912,0.0008912,0.0008912
58,7040.88,1.07539,0.72637,1.39627,0.9742,0.9739,0.99177,0.71275,0.9945,0.54678,1.4867,0.0008714,0.0008714,0.0008714
59,7162.08,1.06352,0.71708,1.38866,0.97715,0.98611,0.99377,0.73261,0.94134,0.48806,1.42956,0.0008516,0.0008516,0.0008516
60,7282.16,1.08208,0.70559,1.38431,0.98341,0.99008,0.99423,0.73449,0.94411,0.47288,1.42492,0.0008318,0.0008318,0.0008318
61,7402,1.03964,0.68152,1.35908,0.98959,0.98016,0.99397,0.73814,0.92234,0.48291,1.40865,0.000812,0.000812,0.000812
62,7523.19,1.06377,0.66612,1.38265,0.98964,0.98214,0.99448,0.73813,0.9374,0.4994,1.4208,0.0007922,0.0007922,0.0007922
63,7642.51,1.00244,0.62991,1.32757,0.97246,0.98068,0.99253,0.73258,0.93309,0.49033,1.40771,0.0007724,0.0007724,0.0007724
64,7764.41,1.04669,0.66335,1.3553,0.98224,0.9877,0.9944,0.7439,0.90219,0.46339,1.39181,0.0007526,0.0007526,0.0007526
65,7886.23,0.98272,0.65501,1.32483,0.99001,0.98293,0.99452,0.76648,0.86424,0.44363,1.35853,0.0007328,0.0007328,0.0007328
66,8008.02,1.013,0.64353,1.35883,0.97454,0.98712,0.99351,0.75669,0.87362,0.46726,1.37276,0.000713,0.000713,0.000713
67,8129.32,1.01969,0.66146,1.35462,0.96884,0.98692,0.99362,0.74254,0.91647,0.47822,1.39894,0.0006932,0.0006932,0.0006932
68,8250.33,0.97811,0.62559,1.33119,0.98081,0.98214,0.99391,0.74489,0.89079,0.4673,1.37337,0.0006734,0.0006734,0.0006734
69,8371.07,0.99285,0.6271,1.32722,0.98606,0.9823,0.99396,0.7609,0.86209,0.45034,1.35299,0.0006536,0.0006536,0.0006536
70,8490.23,0.99017,0.64584,1.32872,0.97998,0.9881,0.99429,0.76381,0.84362,0.44616,1.33216,0.0006338,0.0006338,0.0006338
71,8609.05,1.00167,0.64495,1.34396,0.97041,0.97596,0.98281,0.70914,0.99713,0.50219,1.45798,0.000614,0.000614,0.000614
72,8728.4,0.98998,0.63886,1.34248,0.99201,0.98572,0.99447,0.772,0.83003,0.44156,1.32603,0.0005942,0.0005942,0.0005942
73,8847.72,0.93155,0.61622,1.28522,0.98415,0.98578,0.99444,0.7768,0.80451,0.42979,1.30814,0.0005744,0.0005744,0.0005744
74,8967.65,0.95932,0.61486,1.31873,0.99359,0.98413,0.99482,0.78072,0.80141,0.41858,1.294,0.0005546,0.0005546,0.0005546
75,9086.34,0.97543,0.62889,1.32643,0.98987,0.9881,0.99466,0.78378,0.80417,0.40802,1.29663,0.0005348,0.0005348,0.0005348
76,9205.55,0.94498,0.61419,1.30574,0.99401,0.98778,0.99455,0.78542,0.79687,0.40225,1.28979,0.000515,0.000515,0.000515
77,9324.73,0.93486,0.61585,1.29879,0.99136,0.99405,0.9944,0.78013,0.80372,0.41446,1.29827,0.0004952,0.0004952,0.0004952
78,9443.89,0.93383,0.61838,1.29916,0.99601,0.98951,0.99496,0.7923,0.76512,0.40465,1.27012,0.0004754,0.0004754,0.0004754
79,9562.75,0.9382,0.59373,1.27905,0.99599,0.98514,0.9949,0.79949,0.75954,0.3961,1.25738,0.0004556,0.0004556,0.0004556
80,9682.57,0.96554,0.62344,1.31869,0.9881,0.9881,0.99474,0.80108,0.76245,0.39681,1.26068,0.0004358,0.0004358,0.0004358
